team,league,season,matches_played,goals_for_avg,goals_against_avg,first_half_goals_for_avg,first_half_goals_against_avg,clean_sheet_rate,failed_to_score_rate,btts_rate,over_25_rate,over_35_rate,scored_first_rate,conceded_first_rate,led_by_2_rate,conceded_after_leading_rate,points_dropped_from_winning_positions,comeback_points_gained,late_goals_for_rate,late_goals_against_rate,home_goals_for_avg,home_goals_against_avg,away_goals_for_avg,away_goals_against_avg,form_last_5,form_last_10,form_last_8_ppg,two_up_trigger_profile,comeback_vulnerability,ideal_2up_role,two_up_notes,tactical_style_note,volatility_note,data_source_notes,data_quality,last_updated
Adelaide United,A-League Men,2025-26,26,1.77,1.38,0.65,0.62,0.12,0.08,0.81,0.65,0.35,,,,,,,,,1.92,1.31,1.62,1.46,,,1.75,High,Medium,Back candidate,"High BTTS and strong scoring make Adelaide a strong 2UP trigger profile, though defensive concessions keep the lay alive.",,,"SoccerSTATS A-League 2025/26: latest, scored/conceded, first-half and over/under pages. URLs: https://www.soccerstats.com/latest.asp?league=australia | https://www.soccerstats.com/table.asp?league=australia&tid=f | https://www.soccerstats.com/table.asp?league=australia&tid=c",Medium,2026-05-22
Auckland FC,A-League Men,2025-26,26,1.62,1.12,0.88,0.62,0.27,0.08,0.69,0.62,0.27,,,,,,,,,1.54,1.31,1.69,0.92,,,1.25,High,Medium,Back candidate,"Strong first-half scoring and low failed-to-score rate make Auckland a useful 2UP back candidate, especially in volatile finals or away spots.",,,"SoccerSTATS A-League 2025/26: latest, scored/conceded, first-half and over/under pages. URLs: https://www.soccerstats.com/latest.asp?league=australia | https://www.soccerstats.com/table.asp?league=australia&tid=f | https://www.soccerstats.com/table.asp?league=australia&tid=c",Medium,2026-05-22
Brisbane Roar,A-League Men,2025-26,26,1.04,1.38,0.54,0.54,0.27,0.27,0.58,0.54,0.19,,,,,,,,,1.08,1.38,1.0,1.38,,,0.5,Low,Medium,Avoid: not enough scoring threat,"Brisbane's scoring rate is weak, so they are generally better treated as an opponent/context team than the back side.",,,"SoccerSTATS A-League 2025/26: latest, scored/conceded, first-half and over/under pages. URLs: https://www.soccerstats.com/latest.asp?league=australia | https://www.soccerstats.com/table.asp?league=australia&tid=f | https://www.soccerstats.com/table.asp?league=australia&tid=c",Medium,2026-05-22
Central Coast Mariners,A-League Men,2025-26,26,1.35,1.62,0.69,0.81,0.23,0.19,0.65,0.65,0.42,,,,,,,,,1.31,1.31,1.38,1.92,,,1.13,Medium,High,Lay-side comeback candidate,"Central Coast games are volatile, but defensive weakness makes them risky to back unless the matchup is excellent.",,,"SoccerSTATS A-League 2025/26: latest, scored/conceded, first-half and over/under pages. URLs: https://www.soccerstats.com/latest.asp?league=australia | https://www.soccerstats.com/table.asp?league=australia&tid=f | https://www.soccerstats.com/table.asp?league=australia&tid=c",Medium,2026-05-22
Macarthur FC,A-League Men,2025-26,26,1.42,1.69,0.69,0.65,0.15,0.27,0.62,0.54,0.38,,,,,,,,,1.69,1.69,1.15,1.69,,,1.13,Medium,High,Back candidate,"Macarthur are chaotic: enough scoring to trigger in good spots, but high concessions mean the lay can remain alive.",,,"SoccerSTATS A-League 2025/26: latest, scored/conceded, first-half and over/under pages. URLs: https://www.soccerstats.com/latest.asp?league=australia | https://www.soccerstats.com/table.asp?league=australia&tid=f | https://www.soccerstats.com/table.asp?league=australia&tid=c",Medium,2026-05-22
Melbourne City,A-League Men,2025-26,26,1.27,1.27,0.62,0.54,0.38,0.23,0.5,0.46,0.27,,,,,,,,,1.38,1.0,1.15,1.54,,,2.0,Medium,Medium,Context-only,City are balanced rather than explosive; useful only where price and opponent make the 2UP shape attractive.,,,"SoccerSTATS A-League 2025/26: latest, scored/conceded, first-half and over/under pages. URLs: https://www.soccerstats.com/latest.asp?league=australia | https://www.soccerstats.com/table.asp?league=australia&tid=f | https://www.soccerstats.com/table.asp?league=australia&tid=c",Medium,2026-05-22
Melbourne Victory,A-League Men,2025-26,26,1.69,1.27,0.65,0.65,0.23,0.31,0.54,0.54,0.42,,,,,,,,,2.0,1.08,1.38,1.46,,,1.63,High,Medium,Back candidate,"Victory have good scoring and home threat, but failed-to-score rate means matchup and price matter.",,,"SoccerSTATS A-League 2025/26: latest, scored/conceded, first-half and over/under pages. URLs: https://www.soccerstats.com/latest.asp?league=australia | https://www.soccerstats.com/table.asp?league=australia&tid=f | https://www.soccerstats.com/table.asp?league=australia&tid=c",Medium,2026-05-22
Newcastle Jets,A-League Men,2025-26,26,2.12,1.5,0.96,0.65,0.19,0.12,0.73,0.77,0.5,,,,,,,,,2.31,1.54,1.92,1.46,,,1.5,High,High,Back candidate,"Newcastle are the strongest A-League 2UP trigger profile: high scoring, high BTTS and high over-2.5, but still concede enough for volatility.",,,"SoccerSTATS A-League 2025/26: latest, scored/conceded, first-half and over/under pages. URLs: https://www.soccerstats.com/latest.asp?league=australia | https://www.soccerstats.com/table.asp?league=australia&tid=f | https://www.soccerstats.com/table.asp?league=australia&tid=c",Medium,2026-05-22
Perth Glory,A-League Men,2025-26,26,1.23,1.5,0.62,0.65,0.15,0.35,0.54,0.58,0.38,,,,,,,,,1.23,1.23,1.23,1.77,,,1.38,Low,High,Lay-side comeback candidate,Perth concede enough for opponent triggers but are not strong enough scorers to trust as the back side often.,,,"SoccerSTATS A-League 2025/26: latest, scored/conceded, first-half and over/under pages. URLs: https://www.soccerstats.com/latest.asp?league=australia | https://www.soccerstats.com/table.asp?league=australia&tid=f | https://www.soccerstats.com/table.asp?league=australia&tid=c",Medium,2026-05-22
Sydney FC,A-League Men,2025-26,26,1.27,0.96,0.27,0.31,0.42,0.35,0.35,0.42,0.19,,,,,,,,,1.46,1.0,1.08,0.92,,,1.25,Low,Low,Avoid: too safe,"Sydney have the best defensive profile and low BTTS, so they are less attractive for 2UP volatility despite tactical discipline.",,,"SoccerSTATS A-League 2025/26: latest, scored/conceded, first-half and over/under pages. URLs: https://www.soccerstats.com/latest.asp?league=australia | https://www.soccerstats.com/table.asp?league=australia&tid=f | https://www.soccerstats.com/table.asp?league=australia&tid=c",Medium,2026-05-22
Wellington Phoenix,A-League Men,2025-26,26,1.38,1.85,0.5,1.0,0.15,0.19,0.65,0.69,0.46,,,,,,,,,1.46,1.77,1.31,1.92,,,1.63,Medium,High,Lay-side comeback candidate,"Wellington concede heavily, especially first half, making them useful as a volatile opponent and possible comeback side.",,,"SoccerSTATS A-League 2025/26: latest, scored/conceded, first-half and over/under pages. URLs: https://www.soccerstats.com/latest.asp?league=australia | https://www.soccerstats.com/table.asp?league=australia&tid=f | https://www.soccerstats.com/table.asp?league=australia&tid=c",Medium,2026-05-22
Western Sydney Wanderers,A-League Men,2025-26,26,1.04,1.65,0.65,0.69,0.19,0.35,0.5,0.46,0.31,,,,,,,,,0.92,1.46,1.15,1.85,,,0.5,Low,High,Lay-side comeback candidate,Weak table position and high concessions make Wanderers more useful as an opponent than a back candidate.,,,"SoccerSTATS A-League 2025/26: latest, scored/conceded, first-half and over/under pages. URLs: https://www.soccerstats.com/latest.asp?league=australia | https://www.soccerstats.com/table.asp?league=australia&tid=f | https://www.soccerstats.com/table.asp?league=australia&tid=c",Medium,2026-05-22
